"Model Name","Temperature","Learn Rate","Iterations","Number Of Leaves","Minimum Example Count Per Leaf","Win Rate vs Gen1c","Call Trump Passed Tests"
"gen1c.72","2.5","1.15","300","32","40","0.58056","15"
"gen1b2.73","0.025","0.7","100","64","25","0.63692","12"
"gen1c.73","0.025","0.7","100","64","25","0.65696","14"
"gen1b2.74","0.25","0.7","100","64","25","0.64788","15"
"gen1c.74","0.25","0.7","100","64","25","0.65988","13"
"gen1b2.75","2.5","0.7","100","64","25","0.63272","12"
"gen1c.75","2.5","0.7","100","64","25","0.63468","15"
"gen1b2.76","0.025","1.15","100","64","25","0.58756","18"
"gen1c.76","0.025","1.15","100","64","25","0.61884","11"
"gen1b2.77","0.25","1.15","100","64","25","0.60184","17"
"gen1c.77","0.25","1.15","100","64","25","0.61284","11"
"gen1b2.78","2.5","1.15","100","64","25","0.60636","17"
"gen1c.78","2.5","1.15","100","64","25","0.60252","18"
"gen1b2.79","0.025","0.7","200","64","25","0.64872","16"
"gen1c.79","0.025","0.7","200","64","25","0.65384","12"
"gen1b2.80","0.25","0.7","200","64","25","0.64892","18"
"gen1c.80","0.25","0.7","200","64","25","0.65908","16"
"gen1b2.81","2.5","0.7","200","64","25","0.63072","13"
"gen1c.81","2.5","0.7","200","64","25","0.62272","14"
"gen1b2.82","0.025","1.15","200","64","25","0.58496","12"
"gen1c.82","0.025","1.15","200","64","25","0.611","19"
"gen1b2.83","0.25","1.15","200","64","25","0.59616","20"
"gen1c.83","0.25","1.15","200","64","25","0.61156","11"
"gen1b2.84","2.5","1.15","200","64","25","0.58712","16"
"gen1c.84","2.5","1.15","200","64","25","0.61076","17"
"gen1b2.85","0.025","0.7","300","64","25","0.62836","16"
"gen1c.85","0.025","0.7","300","64","25","0.63968","14"
"gen1b2.86","0.25","0.7","300","64","25","0.63244","18"
"gen1c.86","0.25","0.7","300","64","25","0.64304","15"
"gen1b2.87","2.5","0.7","300","64","25","0.60904","13"
"gen1c.87","2.5","0.7","300","64","25","0.60336","15"
"gen1b2.88","0.025","1.15","300","64","25","0.58316","13"
"gen1c.88","0.025","1.15","300","64","25","0.60012","11"
"gen1b2.89","0.25","1.15","300","64","25","0.5816","13"
"gen1c.89","0.25","1.15","300","64","25","0.59088","11"
"gen1b2.90","2.5","1.15","300","64","25","0.57388","15"
"gen1c.90","2.5","1.15","300","64","25","0.57528","13"
"gen1b2.91","0.025","0.7","100","64","40","0.64316","12"
"gen1c.91","0.025","0.7","100","64","40","0.65252","14"
"gen1b2.92","0.25","0.7","100","64","40","0.65064","14"
"gen1c.92","0.25","0.7","100","64","40","0.65036","13"
"gen1b2.93","2.5","0.7","100","64","40","0.63008","11"
"gen1c.93","2.5","0.7","100","64","40","0.63512","16"
"gen1b2.94","0.025","1.15","100","64","40","0.60764","14"
"gen1c.94","0.025","1.15","100","64","40","0.62476","10"
"gen1b2.95","0.25","1.15","100","64","40","0.60384","19"
"gen1c.95","0.25","1.15","100","64","40","0.61832","10"
"gen1b2.96","2.5","1.15","100","64","40","0.60712","17"
"gen1c.96","2.5","1.15","100","64","40","0.606","17"
"gen1b2.97","0.025","0.7","200","64","40","0.64204","14"
"gen1c.97","0.025","0.7","200","64","40","0.6552","12"
"gen1b2.98","0.25","0.7","200","64","40","0.64484","16"
"gen1c.98","0.25","0.7","200","64","40","0.6508","12"
"gen1b2.99","2.5","0.7","200","64","40","0.62132","11"
"gen1c.99","2.5","0.7","200","64","40","0.62644","16"
"gen1b2.100","0.025","1.15","200","64","40","0.5942","16"
"gen1c.100","0.025","1.15","200","64","40","0.61724","18"
"gen1b2.101","0.25","1.15","200","64","40","0.59284","16"
"gen1c.101","0.25","1.15","200","64","40","0.60728","13"
"gen1b2.102","2.5","1.15","200","64","40","0.59096","17"
"gen1c.102","2.5","1.15","200","64","40","0.59536","19"
"gen1b2.103","0.025","0.7","300","64","40","0.62944","14"
