"Model Number","Model Name","Learn Rate","Iterations","Number Of Leaves","Minimum Example Count Per Leaf","L1 Regularization","L2 Regularization","Win Rate","CallTrump Passed Tests","Discard Passed Tests","Play Passed Tests","Battle Command","Test Command"
"54","can3ct.54","0.625","200","511","300","0","0.01","0.49068","8","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.54 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.54 -json output.json"
"55","can3ct.55","0.5","200","511","500","0","0.01","0.4836","10","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.55 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.55 -json output.json"
"56","can3ct.56","0.625","200","511","500","0","0.01","0.4942","10","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.56 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.56 -json output.json"
"57","can3ct.57","0.5","200","511","300","0.3","0.01","0.49212","11","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.57 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.57 -json output.json"
"58","can3ct.58","0.625","200","511","300","0.3","0.01","0.49444","14","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.58 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.58 -json output.json"
"59","can3ct.59","0.5","200","511","500","0.3","0.01","0.49444","13","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.59 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.59 -json output.json"
"60","can3ct.60","0.625","200","511","500","0.3","0.01","0.48604","11","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.60 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.60 -json output.json"
"61","can3ct.61","0.5","200","511","300","0","0.1","0.49284","15","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.61 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.61 -json output.json"
"62","can3ct.62","0.625","200","511","300","0","0.1","0.49004","15","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.62 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.62 -json output.json"
"63","can3ct.63","0.5","200","511","500","0","0.1","0.48856","16","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.63 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.63 -json output.json"
"64","can3ct.64","0.625","200","511","500","0","0.1","0.49452","13","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.64 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.64 -json output.json"
"65","can3ct.65","0.5","200","511","300","0.3","0.1","0.4864","11","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.65 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.65 -json output.json"
"66","can3ct.66","0.625","200","511","300","0.3","0.1","0.48768","11","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.66 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.66 -json output.json"
"67","can3ct.67","0.5","200","511","500","0.3","0.1","0.48752","14","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.67 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.67 -json output.json"
"68","can3ct.68","0.625","200","511","500","0.3","0.1","0.49092","13","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.68 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.68 -json output.json"
